,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32,0.0,0.0,0.0,0.0,10,3,sigmoid,0.0001,"{'C': 10, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9083333333333334,0.03118047822311619,28
28,0.0,0.0,0.0,0.0,1,4,sigmoid,0.001,"{'C': 1, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9083333333333334,0.03118047822311619,28
30,0.0,0.0,0.0,0.0,10,3,sigmoid,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.9166666666666666,0.9166666666666666,0.7916666666666666,0.9583333333333334,0.9583333333333334,0.9083333333333334,0.06123724356957948,28
29,0.003124570846557617,0.006249141693115234,0.0,0.0,1,4,sigmoid,0.0001,"{'C': 1, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9083333333333334,0.03118047822311619,28
14,0.0015989303588867187,0.0004894732290863336,0.00019993782043457032,0.0003998756408691407,1,,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9583333333333334,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9083333333333334,0.03118047822311619,28
26,0.012499094009399414,0.024998188018798828,0.0,0.0,1,3,sigmoid,0.0001,"{'C': 1, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9083333333333334,0.03118047822311619,28
25,0.0,0.0,0.0,0.0,1,3,sigmoid,0.001,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9083333333333334,0.03118047822311619,28
31,0.003124856948852539,0.006249713897705078,0.0,0.0,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9166666666666666,0.9583333333333334,0.8333333333333334,0.875,0.9166666666666666,0.9,0.042491829279939865,39
34,0.0,0.0,0.0,0.0,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9166666666666666,0.9583333333333334,0.8333333333333334,0.875,0.9166666666666666,0.9,0.042491829279939865,39
38,0.0,0.0,0.009374237060546875,0.01874847412109375,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.875,0.9583333333333334,0.8333333333333334,0.875,0.9166666666666666,0.8916666666666668,0.04249182927993987,41
41,0.0031246185302734376,0.006249237060546876,0.0,0.0,100,4,sigmoid,0.0001,"{'C': 100, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.875,0.9583333333333334,0.8333333333333334,0.875,0.9166666666666666,0.8916666666666668,0.04249182927993987,41
27,0.0031250476837158202,0.0062500953674316405,0.0,0.0,1,4,sigmoid,0.01,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.8333333333333334,0.875,0.75,0.9583333333333334,0.875,0.8583333333333334,0.06770032003863301,43
24,0.0,0.0,0.0,0.0,1,3,sigmoid,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.8333333333333334,0.875,0.75,0.9583333333333334,0.875,0.8583333333333334,0.06770032003863301,43
36,0.0,0.0,0.0,0.0,100,3,sigmoid,0.01,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.875,0.75,0.8333333333333334,0.875,0.825,0.04859126579037751,45
39,0.0,0.0,0.0,0.0,100,4,sigmoid,0.01,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.875,0.75,0.8333333333333334,0.875,0.825,0.04859126579037751,45
42,0.0,0.0,0.0,0.0,1000,3,sigmoid,0.01,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.7916666666666666,0.75,0.7916666666666666,0.75,0.7749999999999999,0.02041241452319313,47
45,0.0,0.0,0.0,0.0,1000,4,sigmoid,0.01,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.7916666666666666,0.75,0.7916666666666666,0.75,0.7749999999999999,0.02041241452319313,47
