,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
2,0,80,0.0022484660148620605,0.0004328092974473125,0.0007498860359191895,0.0004329469156406689,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
1,0,80,0.001998424530029297,0.00099968917324922,0.0004997849464416504,0.0004997850104180092,1,4,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
8,0,80,0.0,0.0,0.0,0.0,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
11,0,80,0.002498447895050049,0.0024984478964720173,0.0002499222755432129,0.00043287807918407335,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
13,0,80,0.0014985203742980957,0.0004995472461616533,0.0004993677139282227,0.0004993677139282227,1,,linear,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
10,0,80,0.0,0.0,0.0,0.0,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
20,0,80,0.0032474398612976074,0.00163810463425503,0.0002499818801879883,0.00043298131745719143,100,,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.75,0.8947368421052632,1.0,1.0,0.9111842105263158,0.10250287138738738,29,1.0,1.0,1.0,1.0,1.0,0.0
16,0,80,0.0032474398612976074,0.0012973725074316663,0.0004993677139282227,0.0004993677139282227,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.75,0.8947368421052632,1.0,1.0,0.9111842105263158,0.10250287138738738,29,1.0,1.0,1.0,1.0,1.0,0.0
22,0,80,0.0017486214637756348,0.00043225878104859866,0.0004995465278625488,0.0004995468763444215,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.85,0.8421052631578947,0.9473684210526315,1.0,0.9098684210526315,0.06653199405313943,31,1.0,1.0,1.0,1.0,1.0,0.0
18,0,80,0.0012489557266235352,0.0004333945000772865,0.0007499456405639648,0.0004329819410546407,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.85,0.8421052631578947,0.9473684210526315,1.0,0.9098684210526315,0.06653199405313943,31,1.0,1.0,1.0,1.0,1.0,0.0
52,1,240,0.004995405673980713,0.001580986697759481,0.0012507438659667969,0.0004319509415838918,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
51,1,240,0.0032471418380737305,0.0010887719338938764,0.0009996891021728516,8.085167387873254e-07,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
50,1,240,0.0032480955123901367,0.00043284466231040253,0.0009993314743041992,1.0460572704544214e-06,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
49,1,240,0.003497898578643799,0.0004996659149065854,0.0009999275207519531,1.052827938357335e-06,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
48,1,240,0.0029979944229125977,8.344650268554688e-07,0.0009993910789489746,5.430241572346866e-07,1,4,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
53,1,240,0.003997325897216797,0.0007068028656653445,0.0009998083114624023,4.2981520598697533e-07,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
56,1,240,0.0032469630241394043,0.000433222545722154,0.0010001659393310547,1.400392070349542e-06,1000,3,linear,,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
55,1,240,0.0032479166984558105,0.0004326720296152931,0.0007498860359191895,0.0004329469812877638,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
58,1,240,0.0029981136322021484,5.591411304263389e-07,0.0012491941452026367,0.00043311927471934405,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
54,1,240,0.004496634006500244,0.0011171799728826196,0.0007498860359191895,0.000432947243876044,100,,linear,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
